日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/01/02,18055269,4188555408,231.5,232.5,231.0,232.5,3.0,9954
107/01/03,31706091,7504382512,236.0,238.0,235.5,237.0,4.5,13633
107/01/04,29179613,6963192636,240.0,240.0,236.5,239.5,2.5,10953
107/01/05,23721255,5681934695,240.0,240.0,238.0,240.0,0.5,8659
107/01/08,21846692,5281823362,242.0,242.5,240.5,242.0,2.0,10251
107/01/09,19043123,4588314012,242.0,242.0,239.5,242.0,0.0,7124
107/01/10,25716220,6118683273,241.5,242.0,236.0,236.5,-5.5,10534
107/01/11,32070338,7500674455,235.0,236.0,232.5,235.0,-1.5,9199
107/01/12,23141291,5463302207,234.5,238.0,233.5,237.0,2.0,7905
107/01/15,28576533,6832851887,240.0,240.0,238.0,240.0,3.0,9756
107/01/16,23407632,5609009540,240.0,240.5,238.0,240.5,0.5,8156
107/01/17,38118119,9207582787,240.5,243.0,239.0,242.0,1.5,12593
107/01/18,50119952,12406562364,245.0,250.0,245.0,248.5,6.5,19482
107/01/19,55061292,13975174348,253.5,255.5,251.5,255.5,7.0,18801
107/01/22,45907509,11934882643,257.5,262.0,257.0,261.5,6.0,13558
107/01/23,34606444,9155080569,262.5,266.0,262.5,266.0,4.5,13993
107/01/24,42600813,11022372004,263.0,263.0,256.5,258.0,-8.0,17287
107/01/25,46214756,11981089514,258.0,264.0,256.5,258.0,0.0,15826
107/01/26,43514523,11101977348,256.5,257.5,253.5,255.0,-3.0,12821
107/01/29,31306234,8067780117,259.0,261.5,255.0,258.5,3.5,12211
107/01/30,37410591,9523980994,256.0,257.5,252.5,253.0,-5.5,12987
107/01/31,45807808,11670582000,253.0,257.5,252.0,255.0,2.0,13553
107/02/01,30900457,8022694430,257.5,261.0,257.0,259.5,4.5,13598
107/02/02,25707560,6633344540,259.0,260.0,255.0,259.5,0.0,11404
107/02/05,46554379,11742299859,251.0,254.5,250.5,253.0,-6.5,16909
107/02/06,104448048,24944565955,242.5,243.5,234.0,239.0,-14.0,35455
107/02/07,82299178,19903032966,245.0,245.5,239.5,240.0,1.0,22962
107/02/08,31192550,7468970072,239.5,242.0,238.0,238.5,-1.5,10274
107/02/09,65939265,15227192540,230.0,233.0,228.5,232.5,-6.0,19749
107/02/12,42917236,10113012768,235.5,237.5,235.0,236.5,4.0,10851
107/02/21,76396174,18582475956,244.5,244.5,242.0,242.5,6.0,21512
107/02/22,45492993,10977665819,244.0,244.0,239.0,239.5,-3.0,10071
107/02/23,26985776,6578657620,241.0,245.0,241.0,245.0,5.5,10178
107/02/26,36165810,8910352170,247.0,247.5,245.0,246.5,1.5,12565
107/02/27,44699119,11061945363,250.5,250.5,246.0,246.0,-0.5,10908
107/03/01,43847984,10669194561,244.0,245.0,242.0,243.0,-3.0,11589
107/03/02,35289170,8453712014,240.0,241.0,238.5,240.0,-3.0,10440
107/03/05,27337846,6607367732,242.5,243.0,240.5,241.5,1.5,9321
107/03/06,36945780,9155812210,245.5,250.0,245.5,250.0,8.5,13977
107/03/07,30391219,7525601638,248.0,248.5,246.0,247.0,-3.0,10521
107/03/08,20645694,5172732531,249.5,251.5,249.0,249.5,2.5,8817
107/03/09,22887063,5723277170,250.0,251.0,248.5,250.5,1.0,7050
107/03/12,25100615,6370529728,252.0,255.0,251.5,254.0,3.5,10550
107/03/13,34264883,8816553606,255.5,259.0,255.0,259.0,5.0,11700
107/03/14,24254838,6220805864,256.5,257.5,255.5,257.0,-2.0,8518
107/03/15,19396493,4965546715,258.0,258.0,255.0,255.0,-2.0,5945
107/03/16,62989326,15930805360,253.0,256.0,249.5,255.0,0.0,18058
107/03/19,22440766,5679567964,252.5,255.5,251.0,255.0,0.0,9888
107/03/20,22335151,5640426203,253.0,254.0,251.5,253.0,-2.0,9334
107/03/21,32977737,8325162114,255.0,255.0,251.0,252.5,-0.5,11575
107/03/22,27000718,6797045014,254.5,254.5,249.5,251.5,-1.0,10475
107/03/23,52974390,12994667867,245.0,247.0,244.0,245.0,-6.5,20513
107/03/26,39487945,9582954454,241.5,244.5,241.5,243.5,-1.5,11404
107/03/27,31100260,7732298021,248.0,251.0,247.0,251.0,7.5,11698
107/03/28,29924411,7349468217,247.5,248.0,244.0,245.0,-6.0,13041
107/03/29,36427345,8888435870,243.0,247.0,242.5,244.0,-1.0,12832
107/03/30,16996346,4212690462,247.5,249.5,246.0,246.0,2.0,7578
107/03/31,3603912,893664176,247.5,249.0,246.5,247.5,1.5,2409
107/04/02,19029003,4702581241,248.5,249.0,245.0,246.5,-1.0,6951
107/04/03,35813944,8710200224,243.0,244.5,242.0,244.0,-2.5,13270
107/04/09,35465824,8716801768,248.0,248.0,243.5,245.0,1.0,12437
107/04/10,25268994,6231896018,244.5,249.0,243.5,245.5,0.5,11912
107/04/11,21777935,5391978180,246.5,248.5,246.5,248.0,2.5,8813
107/04/12,20476657,5028226522,248.5,248.5,244.0,245.0,-3.0,6898
107/04/13,19946548,4885963546,246.0,246.0,244.0,244.5,-0.5,5549
107/04/16,21608528,5251556179,243.0,244.0,242.0,243.5,-1.0,8436
107/04/17,42756389,10232256860,243.0,243.5,237.5,238.0,-5.5,18381
107/04/18,44768048,10668587090,239.5,241.5,236.5,238.0,0.0,12132
107/04/19,33230989,8081404960,242.0,244.5,241.0,244.5,6.5,10987
107/04/20,129890087,29837344632,228.0,231.5,228.0,229.0,-15.5,46349
107/04/23,71901975,16282275410,226.5,227.5,225.0,226.5,-2.5,22048
107/04/24,45206892,10233860296,225.0,227.5,225.0,227.0,0.5,13970
107/04/25,48975110,11032111105,225.5,226.0,224.0,225.0,-2.0,15136
